"#","","Zip Code","Stat","Tower Name","Address","Unit Number","Current Price","Approx Liv Area","Beds Total","Baths Total","Actual Close Date","Total Monthly CIC","DOM","Sold Term","List Agent Full Name","List Agent ID","Selling Agent Full Name","Selling/Showing Agent ID"
"501","2639216","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","12G","$625,000","1,856","2","2","","$1,328.00","13","","Chris M. Payne","229605","",""
"501","2624113","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","14D","$555,000","1,856","2","3","","$1,222.00","76","","Thelma G. Abitia","214018","",""
"501","2610876","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","17A","$724,900","2,208","2","3","","$1,536.00","121","","Robert W. Morganti","205999","",""
"501","2610801","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","22B","$620,000","1,856","2","3","","$1,332.00","125","","Rebecca Jones","097696","",""
"501","2640796","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","24E","$605,000","1,534","1","3","","$1,059.00","6","","Malcolm Boot","203034","",""
"501","2628207","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","25A","$630,000","1,856","1","2","","$1,367.00","60","","Jody A Lenzie","010029","",""
"501","2631960","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","26H","$625,000","1,856","2","3","","$1,329.00","42","","Mark M. Minelli","213314","",""
"501","2602547","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","28C","$2,195,000","3,502","2","3","","$2,357.00","152","","Genesis Jameson","097960","",""
"501","2610788","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","8A","$615,000","1,856","2","3","","$1,329.00","124","","Mark M. Minelli","213314","",""
"501","2617213","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","9B","$525,000","2,208","2","2","","$1,460.00","97","","John B. Pascu","236500","",""
"501","2634930","89101","A-ER","JUHL","353 East Bonneville AVE","103","$675,000","1,962","1","2","","$821.00","29","","Michelle L. Manley","224836","",""
